msg_size_bytes,avg_send_us,avg_recv_us,rtt_us,bandwidth_mbps
1,5.62,0.80,6.42,0.31
2,0.10,0.18,0.28,14.29
4,0.09,0.15,0.24,33.33
8,0.08,0.17,0.25,64.00
16,0.07,0.22,0.29,110.34
32,0.07,0.18,0.25,256.00
64,0.07,0.20,0.27,474.07
128,0.08,0.25,0.33,775.76
256,0.14,0.22,0.36,1422.22
512,0.27,0.19,0.46,2226.09
1024,0.31,0.23,0.54,3792.59
2048,0.50,0.24,0.74,5535.14
4096,0.87,0.86,1.73,4735.26
8192,1.17,1.26,2.43,6742.39
16384,1.53,1.45,2.98,10995.97
32768,2.07,2.01,4.08,16062.75
65536,2.85,2.83,5.68,23076.06
131072,5.03,4.68,9.71,26997.32
262144,14.02,15.43,29.45,17802.65
524288,20.50,22.76,43.26,24238.93
1048576,45.99,58.76,104.75,20020.54

# Latency: 0.12 us
# Bandwidth: 26997.32 MB/s
# Buffer size: 1024 bytes
